,id,lat,lon
0,245084405,18,6
1,245084445,18,5
7,245084672,18,4
8,245084692,18,3
33,245086618,18,2
37,245086805,17,2
38,245086833,17,3
54,245099135,17,1
78,245113043,13,18
80,245114120,16,2
85,245114650,16,1
111,245123236,13,17
114,245124236,14,15
118,245124750,14,16
119,245124776,13,16
123,245126293,15,14
125,245126755,15,16
127,245126857,15,15
134,245127530,14,14
154,245130579,14,17
230,245156857,15,13
232,245157900,15,12
267,245179041,17,7
272,245179665,16,7
275,245179892,17,8
277,245180054,16,8
280,245180542,16,6
312,245187729,15,6
316,245188673,15,7
330,245191033,15,8
331,245195520,15,10
335,245201009,15,9
342,245206038,17,4
345,245206170,16,4
350,245207003,15,4
352,245207366,15,5
390,245211303,17,5
407,245212750,16,5
417,245214809,17,6
430,245216578,16,3
600,248059429,6,23
601,265097431,18,8
602,267704158,0,26
604,267704266,1,25
610,267704637,0,25
655,267744098,1,24
715,268343029,0,27
744,270566773,0,28
795,270981237,0,29
941,272461969,0,30
1006,275709370,0,31
1120,279346717,1,32
1127,279347868,1,31
1154,279352633,0,32
1203,279489362,2,23
1204,279489363,2,24
1205,279489671,3,23
1208,279490102,3,24
1308,279608917,4,23
1313,279610277,4,24
1375,279720191,8,24
1379,279720343,8,23
1388,279721672,7,23
1407,279724026,7,24
1423,288019945,9,23
1427,288019969,9,24
1499,288896598,10,23
1528,289206371,2,33
1530,289206947,2,32
1577,289228025,2,31
1655,290538350,3,33
1676,290541471,3,32
1726,291090457,3,34
1738,298008004,4,33
1755,298268635,4,34
1770,301017231,19,54
1771,301017234,19,53
1774,301022391,20,60
1775,301022475,19,56
1777,301023195,20,55
1778,301023199,19,55
1780,301023210,20,54
1784,301024354,19,7
1796,301024413,20,8
1797,301024420,19,8
1808,301024458,20,9
1813,301024473,19,9
1843,301024689,19,10
1859,301024970,19,57
1860,301024971,19,58
1904,301025408,20,10
1997,301032484,18,7
2005,301032618,18,9
2065,301044484,18,53
2091,301045185,18,55
2092,301045238,18,54
2093,301045349,17,53
2095,301045429,16,52
2098,301045587,17,54
2100,301046071,17,52
2101,301046266,16,56
2108,301046318,16,55
2119,301046540,16,54
2130,301046617,16,53
2155,301047168,15,52
2166,301047258,15,51
2211,301047969,15,53
2212,301047983,15,54
2215,301048051,15,55
2224,301048706,14,53
2226,301048778,14,52
2241,301049120,14,54
2244,301049279,14,55
2246,301049386,17,56
2247,301049387,17,55
2267,301051691,15,56
2318,301053138,14,56
2319,301053185,14,57
2329,301178402,11,18
2330,301179354,12,19
2333,301185695,12,18
2347,301191498,10,22
2349,301194188,9,22
2351,301194337,9,46
2361,301194394,9,47
2365,301194448,9,45
2378,301195110,9,21
2379,301195113,9,19
2380,301196154,10,47
